parameter,value,current_value,candidate_source,changed_from_current,note
hum_NTU_ref,0.47854,0.47854,current_stageB,0,humidifier-first baseline applied to current mode through humidity_stageB_params.csv
hum_flow_exp,0.37998,0.37998,current_stageB,0,humidifier-first baseline applied to current mode through humidity_stageB_params.csv
hum_mem_D_eff_m2_s,1e-09,1e-09,current_stageB,0,humidifier-first baseline applied to current mode through humidity_stageB_params.csv
hum_beta_dry_m_s,0.06,0.06,current_stageB,0,humidifier-first baseline applied to current mode through humidity_stageB_params.csv
hum_beta_wet_m_s,0.06,0.06,current_stageB,0,humidifier-first baseline applied to current mode through humidity_stageB_params.csv
hum_UA_W_K,80,80,current_stageB,0,humidifier-first baseline applied to current mode through humidity_stageB_params.csv
hum_heat_eff,0.5825,0.5825,current_stageB,0,humidifier-first baseline applied to current mode through humidity_stageB_params.csv
hum_dry_dp_ref_kPa,9.51831,9.51831,current_stageB,0,humidifier-first baseline applied to current mode through humidity_stageB_params.csv
hum_wet_dp_ref_kPa,11.4663,11.4663,current_stageB,0,humidifier-first baseline applied to current mode through humidity_stageB_params.csv
hum_dp_exp,0.578752,0.578752,current_stageB,0,humidifier-first baseline applied to current mode through humidity_stageB_params.csv
