label,pass,score,pH2O_caIn_RMSE_kPa,xH2O_caIn_RMSE,RH_ca_in_RMSE,prior_dry_omega_RMSE_gpkg,prior_wet_omega_RMSE_gpkg,prior_trans_RMSE_g_s,T_stack_RMSE_C,V_cell_RMSE,pressure_order_pass
base,0,14.55,7.8941190189766,0.0363959289193389,0.132751731747034,71.3930138431352,56.2379527091549,7.94115309001873,0.581649820988828,0.0744938064416006,12
hum_NTU_ref,1,1.92835737648969,4.6652503933235,0.0213390302498186,0.180845620957963,71.9931855273312,56.5585421247279,7.97891367873512,0.585720839702356,0.0733838166894989,13
hum_NTU_ref,1,2.09400335321903,5.50838545887056,0.0276193970896978,0.141224741012204,71.6927340716793,56.3981280595474,7.96002532236708,0.582995829778849,0.0739042991839025,13
hum_NTU_ref,1,14.359161460919,6.91078061444761,0.0329170718774667,0.132576040544657,71.5128135983798,56.3019940730769,7.94870004072326,0.58196251982853,0.0742598516231427,12
hum_NTU_ref,1,26.7454590709799,8.88538331123367,0.0397646542227943,0.13673336853972,71.2733325624456,56.1739498666546,7.93360873758299,0.581569358733139,0.0747274994101384,11
hum_NTU_ref,1,26.9922483855174,10.1290160651983,0.0438498655697782,0.14471716654808,71.0940340898828,56.0780181190697,7.92229709692038,0.582178223427863,0.0750644449367505,11
hum_NTU_ref,1,27.2979311241264,11.6244437786175,0.0488193523559465,0.15992598682484,70.7958041932888,55.9183263551209,7.90345745930237,0.583623531141633,0.0755549105796467,11
hum_NTU_ref,1,27.8308940002894,14.1107301278933,0.0574858527674909,0.196963785178377,70.2016321724639,55.5996796717087,7.86582772048633,0.586757005285166,0.0764221062607131,11
hum_flow_exp,1,2.92602407928421,8.23833895603402,0.0393835172166582,0.312110626798874,72.0467837839462,56.5553230170772,7.97772604120035,0.588419198087736,0.0730473944933863,13
hum_flow_exp,1,2.36562372167079,6.26308868431675,0.0285546704129834,0.244535938125437,72.0217743851526,56.5570897460597,7.97835849317059,0.587371084094009,0.0731877609174227,13
hum_flow_exp,1,2.02056928463286,5.06419019856547,0.0252905336188774,0.158140370325449,71.9674541606918,56.5594869367782,7.97930241096329,0.583756031878575,0.0736168719465124,13
hum_flow_exp,1,14.4615950051584,7.30819315206427,0.0346590116348338,0.142730004068059,71.9235188131245,56.5605576417289,7.9797929502919,0.581170618847301,0.0741690214464067,12
hum_flow_exp,1,26.9472989501019,9.84341865233694,0.0429698494363224,0.146015930588155,71.872348654052,56.561230620822,7.98017135390575,0.58145581939683,0.0748623883933429,11
hum_mem_D_eff_m2_s,1,3.70856980965711,11.1917537834522,0.0540227019239839,0.394217919069881,72.4451383948999,56.7995661729204,8.00727146691507,0.589447140869053,0.0727669233956796,13
hum_mem_D_eff_m2_s,1,2.97061751735438,8.53628652394175,0.0397648065346526,0.310442990720619,72.2942586162638,56.71913930768,7.99781174287359,0.588294870289187,0.0729600302924725,13
hum_mem_D_eff_m2_s,1,2.33712734256365,6.2326508506418,0.0280016910317218,0.234573368182289,72.1436073553994,56.638797899012,7.98835914395781,0.587071457330681,0.0731613646957431,13
hum_mem_D_eff_m2_s,1,1.89402264800134,4.551634925868,0.0226137838208537,0.152084210632596,71.8429940530667,56.4783721634429,7.96947535581059,0.58429786087138,0.0736285384487804,13
hum_mem_D_eff_m2_s,1,2.31092961341198,6.65881374107411,0.0320038746047874,0.133253527489783,71.5433058800892,56.3182903983662,7.95062017146569,0.582088314202239,0.0741999086506667,13
hum_mem_D_eff_m2_s,1,26.9899034718652,10.1175517795716,0.0438115019883176,0.144606965548997,71.0955246469766,56.0788158601465,7.92239117949426,0.582172444783072,0.0750615909243321,11
hum_mem_D_eff_m2_s,1,27.8270856465987,14.0932668356702,0.0574236789823678,0.19667438757049,70.2063606822287,55.6022181440871,7.86612769450877,0.586730021510746,0.0764158469376093,11
hum_NTU_ref,2,2.27262544507833,5.98969149639911,0.0269214113824235,0.226079442410865,72.1235037283033,56.6280739830313,7.98709719514504,0.586899722840512,0.0731890553308956,13
hum_NTU_ref,2,1.99862109638158,4.94121778005509,0.0222818496337163,0.192055658432015,72.0308868725203,56.5786607003733,7.9812817521282,0.586068884815085,0.0733265714036453,13
hum_NTU_ref,2,1.89113401561984,4.5004960020491,0.0217077819247735,0.165658134377884,71.9181172553164,56.5184764675048,7.9741971630231,0.58501061270904,0.0735000891641439,13
hum_NTU_ref,2,2.00807055075743,5.05990673618462,0.0255748125244337,0.147621563759983,71.7679162505928,56.4382827105069,7.96475455242942,0.583563455274301,0.0737614045198684,13
hum_NTU_ref,2,2.14325747768765,5.77508646742322,0.0286672407052915,0.13830219049158,71.655384983604,56.3781764462633,7.95767523344935,0.582722758269631,0.073978525796361,13
hum_NTU_ref,2,14.4422772335555,7.32912261817992,0.0344636768402043,0.133048863833935,71.4680618987275,56.2780740445946,7.94588141299611,0.58177612781066,0.0743488976289507,12
hum_NTU_ref,2,26.9918568204186,10.1271021260551,0.0438434597015238,0.144698726976166,71.0942827216162,56.0781511862005,7.92231279037718,0.582177259301157,0.0750639687901192,11
hum_flow_exp,2,2.73452605362731,7.53340070720651,0.0357436298405166,0.291097593853174,71.9783090719541,56.5148499405964,7.97286021099455,0.588137730258482,0.0731088723063574,13
hum_flow_exp,2,2.15686939447093,5.49243395676378,0.0248213748490559,0.218795587625983,71.9502189110142,56.5168398724841,7.97357208247106,0.586937826155075,0.0732691983056871,13
hum_flow_exp,2,2.11066977912481,5.51684863749693,0.0276895197554735,0.149642895551049,71.8892325218676,56.5195417276083,7.97463499997863,0.582950684751019,0.0737895183497674,13
hum_flow_exp,2,26.6077782187204,8.10844808025736,0.0372867220325298,0.139327612513032,71.8399317727283,56.5207501287098,7.9751878652664,0.580984889103971,0.0744078511275758,11
hum_flow_exp,2,27.1113614498191,10.6690921095301,0.0456448742490089,0.151759261167812,71.7825439675287,56.5215114804305,7.9756149425102,0.582231470568151,0.075143351446061,11
hum_mem_D_eff_m2_s,2,3.61507087375218,10.8550185369817,0.0522117151661386,0.3836839111451,72.4262694948086,56.7895100331324,8.00608883381673,0.589306845957351,0.0727906283027984,13
hum_mem_D_eff_m2_s,2,2.79545302010599,7.90507126876018,0.0364172239891353,0.290173370069385,72.2565884702009,56.6990534707259,7.99544881114144,0.587996012854936,0.0730095487293786,13
hum_mem_D_eff_m2_s,2,2.15174117371269,5.52972172911717,0.0247917372243226,0.211885384761316,72.087203967575,56.6087088689578,7.984818250525,0.586578119966614,0.0732424367135217,13
hum_mem_D_eff_m2_s,2,2.03092587929561,5.17082587820552,0.0261454256625136,0.14627386183058,71.7493296110859,56.4283565072704,7.96358555974898,0.583413930558383,0.0737955515651989,13
hum_mem_D_eff_m2_s,2,14.5244580843005,7.75729612879943,0.0359479001052277,0.132924012256443,71.4126566840583,56.248454880231,7.94239085062591,0.581663492364127,0.0744562325893062,12
hum_mem_D_eff_m2_s,2,27.1954350634816,11.1284343530476,0.0471493581679552,0.154348320137864,70.9099227846649,55.9794518424258,7.91067019981173,0.583068872774373,0.0753782443652179,11
hum_mem_D_eff_m2_s,2,28.0706471444275,15.2017844366712,0.0613996038108559,0.215844798696267,69.9127788745098,55.4445282048488,7.8474871193685,0.588373169534798,0.0767988361075279,11
