case_id,time_s,node,T_C,p_kPa,m_O2_kg_s,m_N2_kg_s,m_H2O_v_kg_s,m_H2O_l_kg_s,RH,xO2,balance_residual_kg_s,liquid_present
cc_no_egr,120,ambient_fresh,25,101.325,0.000318370464453556,0.00105170419556858,1.35900916715682e-05,0,0.5,0.20622436550273,0,0
cc_no_egr,120,mixer_out,25,101.325,0.000318370464453556,0.00105170419556858,1.35900916715682e-05,0,0.5,0.20622436550273,0,0
cc_no_egr,120,compressor_out,60,156.325,0.000318370464453556,0.00105170419556858,1.35900916715682e-05,0,0.1225469870037,0.20622436550273,0,0
cc_no_egr,120,intercooler_out,55,148.325,0.000318370464453556,0.00105170419556858,1.35900916715682e-05,0,0.147152752296003,0.20622436550273,0,0
cc_no_egr,120,humidifier_dry_out,62.4938205078527,148.00240768583,0.000318370464453556,0.00105170419556858,1.35900916715682e-05,0,0.103474602690956,0.20622436550273,0,0
cc_no_egr,120,stack_cathode_out,71.6210586570819,318.607392375304,0.000318496382006884,0.0021042403025469,0.000135214521122794,0.000291639649867141,0.772138504859112,0.107520057606283,0,1
cc_no_egr,120,stack_anode_out,66.6210586570819,109.52665197037,7.02331546129781e-06,0,0,0,0,1,0,0
cc_no_egr,120,humidifier_wet_in,71.6210586570819,342.583679081888,0.000318518419307693,0.00210438589846232,0.000135158815048124,0.000241857413850626,0.829877453334589,0.107524252000849,0,1
cc_no_egr,120,humidifier_wet_out,67.8741484031555,341.710090493498,0.000318518419307693,0.00210438589846232,0.000135158815048124,0.000241857413850626,0.973650920094961,0.107524252000849,0,1
cc_no_egr,120,separator_out,67.8741484031555,341.557715518416,0.000318518419307693,0.00210438589846232,0.000135158815048124,4.83714827701252e-06,0.973216750783561,0.107524252000849,0,1
cc_no_egr,120,tailgas_out,67.8741484031555,188.826792350132,0.000318562727411411,0.00210467863293596,0.000134997833333796,3.27110176512895e-06,0.537375566126709,0.107535842332168,0,1
cc_no_egr,120,anode_tail_out,66.6210586570819,101.325,7.02328063632875e-06,0,1.73395339981086e-14,0,1.65089740623016e-08,0.999999995614903,0,0
cc_no_egr,120,egr_valve_out,67.8741484031555,101.325,0,0,0,0,0,0,0,0
cc_no_egr,120,egr_return_out,67.8741484031555,101.325,0,0,0,0,0,0,0,0
cc_no_egr,120,vent_out,67.8741484031555,101.325,0.000318562727411411,0.00210467863293596,0.000134997833333796,3.27110176512895e-06,0.288357274728395,0.107535842332168,0,1
cc_egr_0p1,120,ambient_fresh,25,101.325,0.000318369821641288,0.00105170207210415,1.35900642322212e-05,0,0.5,0.20622436550273,0,0
cc_egr_0p1,120,mixer_out,25.0000865542618,101.325,0.000318370160211333,0.00105170437977614,1.35902117062358e-05,0,0.500001797703775,0.206224152484625,0,0
cc_egr_0p1,120,compressor_out,60.0000865542618,156.325,0.000318370160211333,0.00105170437977614,1.35902117062358e-05,0,0.122547568907842,0.206224152484625,0,0
cc_egr_0p1,120,intercooler_out,55,148.325,0.000318370160211333,0.00105170437977614,1.35902117062358e-05,0,0.147154040646681,0.206224152484625,0,0
cc_egr_0p1,120,humidifier_dry_out,62.4958313156859,148.00240768583,0.000318370160211333,0.00105170437977614,1.35902117062358e-05,0,0.103466040733448,0.206224152484625,0,0
cc_egr_0p1,120,stack_cathode_out,71.6255404166371,318.344704377675,0.000309520482897481,0.00210968230700004,0.000135223142850868,0.000291769294360545,0.772118540183498,0.104586816695386,0,1
cc_egr_0p1,120,stack_anode_out,66.6255404166371,109.526771921729,7.02332625087897e-06,0,0,0,0,1,0,0
cc_egr_0p1,120,humidifier_wet_in,71.6255404166371,342.36332600043,0.000309542228508396,0.00210982885069431,0.00013516714727443,0.000241961427811394,0.830004698254611,0.10459099524721,0,1
cc_egr_0p1,120,humidifier_wet_out,67.8776247587942,341.490509695226,0.000309542228508396,0.00210982885069431,0.00013516714727443,0.000241961427811394,0.973839001279445,0.10459099524721,0,1
cc_egr_0p1,120,separator_out,67.8776247587942,341.338269425007,0.000309542228508396,0.00210982885069431,0.00013516714727443,4.83922855622787e-06,0.973404853013255,0.10459099524721,0,1
cc_egr_0p1,120,tailgas_out,67.8776247587942,188.746632446862,0.000309586128464556,0.0021101234460727,0.000135005335315095,3.23322866077712e-06,0.537593333262818,0.104602541764422,0,1
cc_egr_0p1,120,anode_tail_out,66.6255404166371,101.325,7.02329057979792e-06,0,1.73395339981086e-14,0,1.65056774044492e-08,0.999999995614909,0,0
cc_egr_0p1,120,egr_valve_out,67.8776247587942,101.325,9.98664930530826e-06,6.80684982604096e-05,4.35501081661596e-06,0,0.288596642953036,0.104602541764422,0,0
cc_egr_0p1,120,egr_return_out,67.8776247587942,101.325,9.98664930530826e-06,6.80684982604096e-05,4.35501081661596e-06,0,0.288596642953036,0.104602541764422,0,0
cc_egr_0p1,120,vent_out,67.8776247587942,101.325,0.000299599479159248,0.00204205494781229,0.000130650324498479,3.23322866077712e-06,0.288596642953036,0.104602541764422,0,1
